Time,Slippery,W_02400d,NB_01_FM,NB_06_M,NB_07_FM,Total (NB),Total (W)
3,0.172853351,7.25,0.399,1,0.287,1.858853351,9.108853351
3.001,0.172930664,7.250024,0.399136,1,0.287064,1.859130664,9.109154664
3.002,0.173007978,7.250048,0.399272,1,0.287128,1.859407978,9.109455978
3.003,0.173085291,7.250072,0.399408,1,0.287192,1.859685291,9.109757291
3.004,0.173162605,7.250096,0.399544,1,0.287256,1.859962605,9.110058605
3.005,0.173239918,7.25012,0.39968,1,0.28732,1.860239918,9.110359918
3.006,0.173317232,7.250144,0.399816,1,0.287384,1.860517232,9.110661232
3.007,0.173394545,7.250168,0.399952,1,0.287448,1.860794545,9.110962545
3.008,0.173471859,7.250192,0.400088,1,0.287512,1.861071859,9.111263859
3.009,0.173549173,7.250216,0.400224,1,0.287576,1.861349173,9.111565173
3.01,0.173626486,7.25024,0.40036,1,0.28764,1.861626486,9.111866486
3.011,0.1737038,7.250264,0.400496,1,0.287704,1.8619038,9.1121678
3.012,0.173781113,7.250288,0.400632,1,0.287768,1.862181113,9.112469113
3.013,0.173858427,7.250312,0.400768,1,0.287832,1.862458427,9.112770427
3.014,0.17393574,7.250336,0.400904,1,0.287896,1.86273574,9.11307174
3.015,0.174013054,7.25036,0.40104,1,0.28796,1.863013054,9.113373054
3.016,0.174090367,7.250384,0.401176,1,0.288024,1.863290367,9.113674367
3.017,0.174167681,7.250408,0.401312,1,0.288088,1.863567681,9.113975681
3.018,0.174244994,7.250432,0.401448,1,0.288152,1.863844994,9.114276994
3.019,0.174322308,7.250456,0.401584,1,0.288216,1.864122308,9.114578308
3.02,0.174399621,7.25048,0.40172,1,0.28828,1.864399621,9.114879621
3.021,0.174476935,7.250504,0.401856,1,0.288344,1.864676935,9.115180935
3.022,0.174554249,7.250528,0.401992,1,0.288408,1.864954249,9.115482249
3.023,0.174631562,7.250552,0.402128,1,0.288472,1.865231562,9.115783562
3.024,0.174708876,7.250576,0.402264,1,0.288536,1.865508876,9.116084876
3.025,0.174786189,7.2506,0.4024,1,0.2886,1.865786189,9.116386189
3.026,0.174863503,7.250624,0.402536,1,0.288664,1.866063503,9.116687503
3.027,0.174940816,7.250648,0.402672,1,0.288728,1.866340816,9.116988816
3.028,0.17501813,7.250672,0.402808,1,0.288792,1.86661813,9.11729013
3.029,0.175095443,7.250696,0.402944,1,0.288856,1.866895443,9.117591443
3.03,0.175172757,7.25072,0.40308,1,0.28892,1.867172757,9.117892757
3.031,0.17525007,7.250744,0.403216,1,0.288984,1.86745007,9.11819407
3.032,0.175327384,7.250768,0.403352,1,0.289048,1.867727384,9.118495384
3.033,0.175404698,7.250792,0.403488,1,0.289112,1.868004698,9.118796698
3.034,0.175482011,7.250816,0.403624,1,0.289176,1.868282011,9.119098011
3.035,0.175559325,7.25084,0.40376,1,0.28924,1.868559325,9.119399325
3.036,0.175636638,7.250864,0.403896,1,0.289304,1.868836638,9.119700638
3.037,0.175713952,7.250888,0.404032,1,0.289368,1.869113952,9.120001952
3.038,0.175791265,7.250912,0.404168,1,0.289432,1.869391265,9.120303265
3.039,0.175868579,7.250936,0.404304,1,0.289496,1.869668579,9.120604579
3.04,0.175945892,7.25096,0.40444,1,0.28956,1.869945892,9.120905892
3.041,0.176023206,7.250984,0.404576,1,0.289624,1.870223206,9.121207206
3.042,0.176100519,7.251008,0.404712,1,0.289688,1.870500519,9.121508519
3.043,0.176177833,7.251032,0.404848,1,0.289752,1.870777833,9.121809833
3.044,0.176255147,7.251056,0.404984,1,0.289816,1.871055147,9.122111147
3.045,0.17633246,7.25108,0.40512,1,0.28988,1.87133246,9.12241246
3.046,0.176409774,7.251104,0.405256,1,0.289944,1.871609774,9.122713774
3.047,0.176487087,7.251128,0.405392,1,0.290008,1.871887087,9.123015087
3.048,0.176564401,7.251152,0.405528,1,0.290072,1.872164401,9.123316401
3.049,0.176641714,7.251176,0.405664,1,0.290136,1.872441714,9.123617714
3.05,0.176719028,7.2512,0.4058,1,0.2902,1.872719028,9.123919028
3.051,0.176796341,7.251224,0.405936,1,0.290264,1.872996341,9.124220341
3.052,0.176873655,7.251248,0.406072,1,0.290328,1.873273655,9.124521655
3.053,0.176950968,7.251272,0.406208,1,0.290392,1.873550968,9.124822968
3.054,0.177028282,7.251296,0.406344,1,0.290456,1.873828282,9.125124282
3.055,0.177105595,7.25132,0.40648,1,0.29052,1.874105595,9.125425595
3.056,0.177182909,7.251344,0.406616,1,0.290584,1.874382909,9.125726909
3.057,0.177260223,7.251368,0.406752,1,0.290648,1.874660223,9.126028223
3.058,0.177337536,7.251392,0.406888,1,0.290712,1.874937536,9.126329536
3.059,0.17741485,7.251416,0.407024,1,0.290776,1.87521485,9.12663085
3.06,0.177492163,7.25144,0.40716,1,0.29084,1.875492163,9.126932163
3.061,0.177569477,7.251464,0.407296,1,0.290904,1.875769477,9.127233477
3.062,0.17764679,7.251488,0.407432,1,0.290968,1.87604679,9.12753479
3.063,0.177724104,7.251512,0.407568,1,0.291032,1.876324104,9.127836104
3.064,0.177801417,7.251536,0.407704,1,0.291096,1.876601417,9.128137417
3.065,0.177878731,7.25156,0.40784,1,0.29116,1.876878731,9.128438731
3.066,0.177956044,7.251584,0.407976,1,0.291224,1.877156044,9.128740044
3.067,0.178033358,7.251608,0.408112,1,0.291288,1.877433358,9.129041358
3.068,0.178110672,7.251632,0.408248,1,0.291352,1.877710672,9.129342672
3.069,0.178187985,7.251656,0.408384,1,0.291416,1.877987985,9.129643985
3.07,0.178265299,7.25168,0.40852,1,0.29148,1.878265299,9.129945299
3.071,0.178342612,7.251704,0.408656,1,0.291544,1.878542612,9.130246612
3.072,0.178419926,7.251728,0.408792,1,0.291608,1.878819926,9.130547926
3.073,0.178497239,7.251752,0.408928,1,0.291672,1.879097239,9.130849239
3.074,0.178574553,7.251776,0.409064,1,0.291736,1.879374553,9.131150553
3.075,0.178651866,7.2518,0.4092,1,0.2918,1.879651866,9.131451866
3.076,0.17872918,7.251824,0.409336,1,0.291864,1.87992918,9.13175318
3.077,0.178806493,7.251848,0.409472,1,0.291928,1.880206493,9.132054493
3.078,0.178883807,7.251872,0.409608,1,0.291992,1.880483807,9.132355807
3.079,0.17896112,7.251896,0.409744,1,0.292056,1.88076112,9.13265712
3.08,0.179038434,7.25192,0.40988,1,0.29212,1.881038434,9.132958434
3.081,0.179115748,7.251944,0.410016,1,0.292184,1.881315748,9.133259748
3.082,0.179193061,7.251968,0.410152,1,0.292248,1.881593061,9.133561061
3.083,0.179270375,7.251992,0.410288,1,0.292312,1.881870375,9.133862375
3.084,0.179347688,7.252016,0.410424,1,0.292376,1.882147688,9.134163688
3.085,0.179425002,7.25204,0.41056,1,0.29244,1.882425002,9.134465002
3.086,0.179502315,7.252064,0.410696,1,0.292504,1.882702315,9.134766315
3.087,0.179579629,7.252088,0.410832,1,0.292568,1.882979629,9.135067629
3.088,0.179656942,7.252112,0.410968,1,0.292632,1.883256942,9.135368942
3.089,0.179734256,7.252136,0.411104,1,0.292696,1.883534256,9.135670256
3.09,0.179811569,7.25216,0.41124,1,0.29276,1.883811569,9.135971569
3.091,0.179888883,7.252184,0.411376,1,0.292824,1.884088883,9.136272883
3.092,0.179966197,7.252208,0.411512,1,0.292888,1.884366197,9.136574197
3.093,0.18004351,7.252232,0.411648,1,0.292952,1.88464351,9.13687551
3.094,0.180120824,7.252256,0.411784,1,0.293016,1.884920824,9.137176824
3.095,0.180198137,7.25228,0.41192,1,0.29308,1.885198137,9.137478137
3.096,0.180275451,7.252304,0.412056,1,0.293144,1.885475451,9.137779451
3.097,0.180352764,7.252328,0.412192,1,0.293208,1.885752764,9.138080764
3.098,0.180430078,7.252352,0.412328,1,0.293272,1.886030078,9.138382078
3.099,0.180507391,7.252376,0.412464,1,0.293336,1.886307391,9.138683391
3.1,0.180584705,7.2524,0.4126,1,0.2934,1.886584705,9.138984705
3.101,0.180662018,7.252424,0.412736,1,0.293464,1.886862018,9.139286018
3.102,0.180739332,7.252448,0.412872,1,0.293528,1.887139332,9.139587332
3.103,0.180816646,7.252472,0.413008,1,0.293592,1.887416646,9.139888646
3.104,0.180893959,7.252496,0.413144,1,0.293656,1.887693959,9.140189959
3.105,0.180971273,7.25252,0.41328,1,0.29372,1.887971273,9.140491273
3.106,0.181048586,7.252544,0.413416,1,0.293784,1.888248586,9.140792586
3.107,0.1811259,7.252568,0.413552,1,0.293848,1.8885259,9.1410939
3.108,0.181203213,7.252592,0.413688,1,0.293912,1.888803213,9.141395213
3.109,0.181280527,7.252616,0.413824,1,0.293976,1.889080527,9.141696527
3.11,0.18135784,7.25264,0.41396,1,0.29404,1.88935784,9.14199784
3.111,0.181435154,7.252664,0.414096,1,0.294104,1.889635154,9.142299154
3.112,0.181512467,7.252688,0.414232,1,0.294168,1.889912467,9.142600467
3.113,0.181589781,7.252712,0.414368,1,0.294232,1.890189781,9.142901781
3.114,0.181667094,7.252736,0.414504,1,0.294296,1.890467094,9.143203094
3.115,0.181744408,7.25276,0.41464,1,0.29436,1.890744408,9.143504408
3.116,0.181821722,7.252784,0.414776,1,0.294424,1.891021722,9.143805722
3.117,0.181899035,7.252808,0.414912,1,0.294488,1.891299035,9.144107035
3.118,0.181976349,7.252832,0.415048,1,0.294552,1.891576349,9.144408349
3.119,0.182053662,7.252856,0.415184,1,0.294616,1.891853662,9.144709662
3.12,0.182130976,7.25288,0.41532,1,0.29468,1.892130976,9.145010976
3.121,0.182208289,7.252904,0.415456,1,0.294744,1.892408289,9.145312289
3.122,0.182285603,7.252928,0.415592,1,0.294808,1.892685603,9.145613603
3.123,0.182362916,7.252952,0.415728,1,0.294872,1.892962916,9.145914916
3.124,0.18244023,7.252976,0.415864,1,0.294936,1.89324023,9.14621623
3.125,0.182517543,7.253,0.416,1,0.295,1.893517543,9.146517543
3.126,0.182594857,7.253024,0.416136,1,0.295064,1.893794857,9.146818857
3.127,0.182672171,7.253048,0.416272,1,0.295128,1.894072171,9.147120171
3.128,0.182749484,7.253072,0.416408,1,0.295192,1.894349484,9.147421484
3.129,0.182826798,7.253096,0.416544,1,0.295256,1.894626798,9.147722798
3.13,0.182904111,7.25312,0.41668,1,0.29532,1.894904111,9.148024111
3.131,0.182981425,7.253144,0.416816,1,0.295384,1.895181425,9.148325425
3.132,0.183058738,7.253168,0.416952,1,0.295448,1.895458738,9.148626738
3.133,0.183136052,7.253192,0.417088,1,0.295512,1.895736052,9.148928052
3.134,0.183213365,7.253216,0.417224,1,0.295576,1.896013365,9.149229365
3.135,0.183290679,7.25324,0.41736,1,0.29564,1.896290679,9.149530679
3.136,0.183367992,7.253264,0.417496,1,0.295704,1.896567992,9.149831992
3.137,0.183445306,7.253288,0.417632,1,0.295768,1.896845306,9.150133306
3.138,0.183522619,7.253312,0.417768,1,0.295832,1.897122619,9.150434619
3.139,0.183599933,7.253336,0.417904,1,0.295896,1.897399933,9.150735933
3.14,0.183677247,7.25336,0.41804,1,0.29596,1.897677247,9.151037247
3.141,0.18375456,7.253384,0.418176,1,0.296024,1.89795456,9.15133856
3.142,0.183831874,7.253408,0.418312,1,0.296088,1.898231874,9.151639874
3.143,0.183909187,7.253432,0.418448,1,0.296152,1.898509187,9.151941187
3.144,0.183986501,7.253456,0.418584,1,0.296216,1.898786501,9.152242501
3.145,0.184063814,7.25348,0.41872,1,0.29628,1.899063814,9.152543814
3.146,0.184141128,7.253504,0.418856,1,0.296344,1.899341128,9.152845128
3.147,0.184218441,7.253528,0.418992,1,0.296408,1.899618441,9.153146441
3.148,0.184295755,7.253552,0.419128,1,0.296472,1.899895755,9.153447755
3.149,0.184373068,7.253576,0.419264,1,0.296536,1.900173068,9.153749068
3.15,0.184450382,7.2536,0.4194,1,0.2966,1.900450382,9.154050382
3.151,0.184527696,7.253624,0.419536,1,0.296664,1.900727696,9.154351696
3.152,0.184605009,7.253648,0.419672,1,0.296728,1.901005009,9.154653009
3.153,0.184682323,7.253672,0.419808,1,0.296792,1.901282323,9.154954323
3.154,0.184759636,7.253696,0.419944,1,0.296856,1.901559636,9.155255636
3.155,0.18483695,7.25372,0.42008,1,0.29692,1.90183695,9.15555695
3.156,0.184914263,7.253744,0.420216,1,0.296984,1.902114263,9.155858263
3.157,0.184991577,7.253768,0.420352,1,0.297048,1.902391577,9.156159577
3.158,0.18506889,7.253792,0.420488,1,0.297112,1.90266889,9.15646089
3.159,0.185146204,7.253816,0.420624,1,0.297176,1.902946204,9.156762204
3.16,0.185223517,7.25384,0.42076,1,0.29724,1.903223517,9.157063517
3.161,0.185300831,7.253864,0.420896,1,0.297304,1.903500831,9.157364831
3.162,0.185378145,7.253888,0.421032,1,0.297368,1.903778145,9.157666145
3.163,0.185455458,7.253912,0.421168,1,0.297432,1.904055458,9.157967458
3.164,0.185532772,7.253936,0.421304,1,0.297496,1.904332772,9.158268772
3.165,0.185610085,7.25396,0.42144,1,0.29756,1.904610085,9.158570085
3.166,0.185687399,7.253984,0.421576,1,0.297624,1.904887399,9.158871399
3.167,0.185764712,7.254008,0.421712,1,0.297688,1.905164712,9.159172712
3.168,0.185842026,7.254032,0.421848,1,0.297752,1.905442026,9.159474026
