Time,Slippery,W_02400d,NB_01_FM,NB_06_M,NB_07_FM,Total (NB),Total (W)
3,0.179563791,7.245,0.413,1,0.297,1.889563791,9.134563791
3.001,0.179686525,7.24504,0.413228,1,0.297112,1.890026525,9.135066525
3.002,0.179809259,7.24508,0.413456,1,0.297224,1.890489259,9.135569259
3.003,0.179931993,7.24512,0.413684,1,0.297336,1.890951993,9.136071993
3.004,0.180054727,7.24516,0.413912,1,0.297448,1.891414727,9.136574727
3.005,0.180177462,7.2452,0.41414,1,0.29756,1.891877462,9.137077462
3.006,0.180300196,7.24524,0.414368,1,0.297672,1.892340196,9.137580196
3.007,0.18042293,7.24528,0.414596,1,0.297784,1.89280293,9.13808293
3.008,0.180545664,7.24532,0.414824,1,0.297896,1.893265664,9.138585664
3.009,0.180668398,7.24536,0.415052,1,0.298008,1.893728398,9.139088398
3.01,0.180791132,7.2454,0.41528,1,0.29812,1.894191132,9.139591132
3.011,0.180913867,7.24544,0.415508,1,0.298232,1.894653867,9.140093867
3.012,0.181036601,7.24548,0.415736,1,0.298344,1.895116601,9.140596601
3.013,0.181159335,7.24552,0.415964,1,0.298456,1.895579335,9.141099335
3.014,0.181282069,7.24556,0.416192,1,0.298568,1.896042069,9.141602069
3.015,0.181404803,7.2456,0.41642,1,0.29868,1.896504803,9.142104803
3.016,0.181527538,7.24564,0.416648,1,0.298792,1.896967538,9.142607538
3.017,0.181650272,7.24568,0.416876,1,0.298904,1.897430272,9.143110272
3.018,0.181773006,7.24572,0.417104,1,0.299016,1.897893006,9.143613006
3.019,0.18189574,7.24576,0.417332,1,0.299128,1.89835574,9.14411574
3.02,0.182018474,7.2458,0.41756,1,0.29924,1.898818474,9.144618474
3.021,0.182141209,7.24584,0.417788,1,0.299352,1.899281209,9.145121209
3.022,0.182263943,7.24588,0.418016,1,0.299464,1.899743943,9.145623943
3.023,0.182386677,7.24592,0.418244,1,0.299576,1.900206677,9.146126677
3.024,0.182509411,7.24596,0.418472,1,0.299688,1.900669411,9.146629411
3.025,0.182632145,7.246,0.4187,1,0.2998,1.901132145,9.147132145
3.026,0.182754879,7.24604,0.418928,1,0.299912,1.901594879,9.147634879
3.027,0.182877614,7.24608,0.419156,1,0.300024,1.902057614,9.148137614
3.028,0.183000348,7.24612,0.419384,1,0.300136,1.902520348,9.148640348
3.029,0.183123082,7.24616,0.419612,1,0.300248,1.902983082,9.149143082
3.03,0.183245816,7.2462,0.41984,1,0.30036,1.903445816,9.149645816
3.031,0.18336855,7.24624,0.420068,1,0.300472,1.90390855,9.15014855
3.032,0.183491285,7.24628,0.420296,1,0.300584,1.904371285,9.150651285
3.033,0.183614019,7.24632,0.420524,1,0.300696,1.904834019,9.151154019
3.034,0.183736753,7.24636,0.420752,1,0.300808,1.905296753,9.151656753
3.035,0.183859487,7.2464,0.42098,1,0.30092,1.905759487,9.152159487
3.036,0.183982221,7.24644,0.421208,1,0.301032,1.906222221,9.152662221
3.037,0.184104956,7.24648,0.421436,1,0.301144,1.906684956,9.153164956
3.038,0.18422769,7.24652,0.421664,1,0.301256,1.90714769,9.15366769
3.039,0.184350424,7.24656,0.421892,1,0.301368,1.907610424,9.154170424
3.04,0.184473158,7.2466,0.42212,1,0.30148,1.908073158,9.154673158
3.041,0.184595892,7.24664,0.422348,1,0.301592,1.908535892,9.155175892
3.042,0.184718626,7.24668,0.422576,1,0.301704,1.908998626,9.155678626
3.043,0.184841361,7.24672,0.422804,1,0.301816,1.909461361,9.156181361
3.044,0.184964095,7.24676,0.423032,1,0.301928,1.909924095,9.156684095
3.045,0.185086829,7.2468,0.42326,1,0.30204,1.910386829,9.157186829
3.046,0.185209563,7.24684,0.423488,1,0.302152,1.910849563,9.157689563
3.047,0.185332297,7.24688,0.423716,1,0.302264,1.911312297,9.158192297
3.048,0.185455032,7.24692,0.423944,1,0.302376,1.911775032,9.158695032
3.049,0.185577766,7.24696,0.424172,1,0.302488,1.912237766,9.159197766
3.05,0.1857005,7.247,0.4244,1,0.3026,1.9127005,9.1597005
3.051,0.185823234,7.24704,0.424628,1,0.302712,1.913163234,9.160203234
3.052,0.185945968,7.24708,0.424856,1,0.302824,1.913625968,9.160705968
3.053,0.186068703,7.24712,0.425084,1,0.302936,1.914088703,9.161208703
3.054,0.186191437,7.24716,0.425312,1,0.303048,1.914551437,9.161711437
3.055,0.186314171,7.2472,0.42554,1,0.30316,1.915014171,9.162214171
3.056,0.186436905,7.24724,0.425768,1,0.303272,1.915476905,9.162716905
3.057,0.186559639,7.24728,0.425996,1,0.303384,1.915939639,9.163219639
3.058,0.186682374,7.24732,0.426224,1,0.303496,1.916402374,9.163722374
3.059,0.186805108,7.24736,0.426452,1,0.303608,1.916865108,9.164225108
3.06,0.186927842,7.2474,0.42668,1,0.30372,1.917327842,9.164727842
3.061,0.187050576,7.24744,0.426908,1,0.303832,1.917790576,9.165230576
3.062,0.18717331,7.24748,0.427136,1,0.303944,1.91825331,9.16573331
3.063,0.187296044,7.24752,0.427364,1,0.304056,1.918716044,9.166236044
3.064,0.187418779,7.24756,0.427592,1,0.304168,1.919178779,9.166738779
3.065,0.187541513,7.2476,0.42782,1,0.30428,1.919641513,9.167241513
3.066,0.187664247,7.24764,0.428048,1,0.304392,1.920104247,9.167744247
3.067,0.187786981,7.24768,0.428276,1,0.304504,1.920566981,9.168246981
3.068,0.187909715,7.24772,0.428504,1,0.304616,1.921029715,9.168749715
3.069,0.18803245,7.24776,0.428732,1,0.304728,1.92149245,9.16925245
3.07,0.188155184,7.2478,0.42896,1,0.30484,1.921955184,9.169755184
3.071,0.188277918,7.24784,0.429188,1,0.304952,1.922417918,9.170257918
3.072,0.188400652,7.24788,0.429416,1,0.305064,1.922880652,9.170760652
3.073,0.188523386,7.24792,0.429644,1,0.305176,1.923343386,9.171263386
3.074,0.188646121,7.24796,0.429872,1,0.305288,1.923806121,9.171766121
3.075,0.188768855,7.248,0.4301,1,0.3054,1.924268855,9.172268855
3.076,0.188891589,7.24804,0.430328,1,0.305512,1.924731589,9.172771589
3.077,0.189014323,7.24808,0.430556,1,0.305624,1.925194323,9.173274323
3.078,0.189137057,7.24812,0.430784,1,0.305736,1.925657057,9.173777057
3.079,0.189259791,7.24816,0.431012,1,0.305848,1.926119791,9.174279791
3.08,0.189382526,7.2482,0.43124,1,0.30596,1.926582526,9.174782526
3.081,0.18950526,7.24824,0.431468,1,0.306072,1.92704526,9.17528526
3.082,0.189627994,7.24828,0.431696,1,0.306184,1.927507994,9.175787994
3.083,0.189750728,7.24832,0.431924,1,0.306296,1.927970728,9.176290728
3.084,0.189873462,7.24836,0.432152,1,0.306408,1.928433462,9.176793462
3.085,0.189996197,7.2484,0.43238,1,0.30652,1.928896197,9.177296197
3.086,0.190118931,7.24844,0.432608,1,0.306632,1.929358931,9.177798931
3.087,0.190241665,7.24848,0.432836,1,0.306744,1.929821665,9.178301665
3.088,0.190364399,7.24852,0.433064,1,0.306856,1.930284399,9.178804399
3.089,0.190487133,7.24856,0.433292,1,0.306968,1.930747133,9.179307133
3.09,0.190609868,7.2486,0.43352,1,0.30708,1.931209868,9.179809868
3.091,0.190732602,7.24864,0.433748,1,0.307192,1.931672602,9.180312602
3.092,0.190855336,7.24868,0.433976,1,0.307304,1.932135336,9.180815336
3.093,0.19097807,7.24872,0.434204,1,0.307416,1.93259807,9.18131807
3.094,0.191100804,7.24876,0.434432,1,0.307528,1.933060804,9.181820804
3.095,0.191223539,7.2488,0.43466,1,0.30764,1.933523539,9.182323539
3.096,0.191346273,7.24884,0.434888,1,0.307752,1.933986273,9.182826273
3.097,0.191469007,7.24888,0.435116,1,0.307864,1.934449007,9.183329007
3.098,0.191591741,7.24892,0.435344,1,0.307976,1.934911741,9.183831741
3.099,0.191714475,7.24896,0.435572,1,0.308088,1.935374475,9.184334475
3.1,0.191837209,7.249,0.4358,1,0.3082,1.935837209,9.184837209
3.101,0.191959944,7.24904,0.436028,1,0.308312,1.936299944,9.185339944
3.102,0.192082678,7.24908,0.436256,1,0.308424,1.936762678,9.185842678
3.103,0.192205412,7.24912,0.436484,1,0.308536,1.937225412,9.186345412
3.104,0.192328146,7.24916,0.436712,1,0.308648,1.937688146,9.186848146
3.105,0.19245088,7.2492,0.43694,1,0.30876,1.93815088,9.18735088
3.106,0.192573615,7.24924,0.437168,1,0.308872,1.938613615,9.187853615
3.107,0.192696349,7.24928,0.437396,1,0.308984,1.939076349,9.188356349
3.108,0.192819083,7.24932,0.437624,1,0.309096,1.939539083,9.188859083
3.109,0.192941817,7.24936,0.437852,1,0.309208,1.940001817,9.189361817
3.11,0.193064551,7.2494,0.43808,1,0.30932,1.940464551,9.189864551
3.111,0.193187286,7.24944,0.438308,1,0.309432,1.940927286,9.190367286
3.112,0.19331002,7.24948,0.438536,1,0.309544,1.94139002,9.19087002
3.113,0.193432754,7.24952,0.438764,1,0.309656,1.941852754,9.191372754
3.114,0.193555488,7.24956,0.438992,1,0.309768,1.942315488,9.191875488
3.115,0.193678222,7.2496,0.43922,1,0.30988,1.942778222,9.192378222
3.116,0.193800956,7.24964,0.439448,1,0.309992,1.943240956,9.192880956
3.117,0.193923691,7.24968,0.439676,1,0.310104,1.943703691,9.193383691
3.118,0.194046425,7.24972,0.439904,1,0.310216,1.944166425,9.193886425
3.119,0.194169159,7.24976,0.440132,1,0.310328,1.944629159,9.194389159
3.12,0.194291893,7.2498,0.44036,1,0.31044,1.945091893,9.194891893
3.121,0.194414627,7.24984,0.440588,1,0.310552,1.945554627,9.195394627
3.122,0.194537362,7.24988,0.440816,1,0.310664,1.946017362,9.195897362
3.123,0.194660096,7.24992,0.441044,1,0.310776,1.946480096,9.196400096
3.124,0.19478283,7.24996,0.441272,1,0.310888,1.94694283,9.19690283
3.125,0.194905564,7.25,0.4415,1,0.311,1.947405564,9.197405564
3.126,0.195028298,7.25004,0.441728,1,0.311112,1.947868298,9.197908298
3.127,0.195151033,7.25008,0.441956,1,0.311224,1.948331033,9.198411033
3.128,0.195273767,7.25012,0.442184,1,0.311336,1.948793767,9.198913767
3.129,0.195396501,7.25016,0.442412,1,0.311448,1.949256501,9.199416501
3.13,0.195519235,7.2502,0.44264,1,0.31156,1.949719235,9.199919235
3.131,0.195641969,7.25024,0.442868,1,0.311672,1.950181969,9.200421969
3.132,0.195764704,7.25028,0.443096,1,0.311784,1.950644704,9.200924704
3.133,0.195887438,7.25032,0.443324,1,0.311896,1.951107438,9.201427438
3.134,0.196010172,7.25036,0.443552,1,0.312008,1.951570172,9.201930172
