Time,Slippery,W_02400d,NB_01_FM,NB_06_M,NB_07_FM,Total (NB),Total (W)
3,0.179563791,7.241,0.413,1,0.297,1.889563791,9.130563791
3.001,0.179672967,7.241036,0.4132,1,0.297096,1.889968967,9.131004967
3.002,0.179782143,7.241072,0.4134,1,0.297192,1.890374143,9.131446143
3.003,0.179891319,7.241108,0.4136,1,0.297288,1.890779319,9.131887319
3.004,0.180000495,7.241144,0.4138,1,0.297384,1.891184495,9.132328495
3.005,0.180109671,7.24118,0.414,1,0.29748,1.891589671,9.132769671
3.006,0.180218847,7.241216,0.4142,1,0.297576,1.891994847,9.133210847
3.007,0.180328023,7.241252,0.4144,1,0.297672,1.892400023,9.133652023
3.008,0.180437199,7.241288,0.4146,1,0.297768,1.892805199,9.134093199
3.009,0.180546375,7.241324,0.4148,1,0.297864,1.893210375,9.134534375
3.01,0.180655551,7.24136,0.415,1,0.29796,1.893615551,9.134975551
3.011,0.180764727,7.241396,0.4152,1,0.298056,1.894020727,9.135416727
3.012,0.180873903,7.241432,0.4154,1,0.298152,1.894425903,9.135857903
3.013,0.180983079,7.241468,0.4156,1,0.298248,1.894831079,9.136299079
3.014,0.181092255,7.241504,0.4158,1,0.298344,1.895236255,9.136740255
3.015,0.181201431,7.24154,0.416,1,0.29844,1.895641431,9.137181431
3.016,0.181310607,7.241576,0.4162,1,0.298536,1.896046607,9.137622607
3.017,0.181419783,7.241612,0.4164,1,0.298632,1.896451783,9.138063783
3.018,0.181528959,7.241648,0.4166,1,0.298728,1.896856959,9.138504959
3.019,0.181638135,7.241684,0.4168,1,0.298824,1.897262135,9.138946135
3.02,0.181747311,7.24172,0.417,1,0.29892,1.897667311,9.139387311
3.021,0.181856487,7.241756,0.4172,1,0.299016,1.898072487,9.139828487
3.022,0.181965663,7.241792,0.4174,1,0.299112,1.898477663,9.140269663
3.023,0.182074839,7.241828,0.4176,1,0.299208,1.898882839,9.140710839
3.024,0.182184016,7.241864,0.4178,1,0.299304,1.899288016,9.141152016
3.025,0.182293192,7.2419,0.418,1,0.2994,1.899693192,9.141593192
3.026,0.182402368,7.241936,0.4182,1,0.299496,1.900098368,9.142034368
3.027,0.182511544,7.241972,0.4184,1,0.299592,1.900503544,9.142475544
3.028,0.18262072,7.242008,0.4186,1,0.299688,1.90090872,9.14291672
3.029,0.182729896,7.242044,0.4188,1,0.299784,1.901313896,9.143357896
3.03,0.182839072,7.24208,0.419,1,0.29988,1.901719072,9.143799072
3.031,0.182948248,7.242116,0.4192,1,0.299976,1.902124248,9.144240248
3.032,0.183057424,7.242152,0.4194,1,0.300072,1.902529424,9.144681424
3.033,0.1831666,7.242188,0.4196,1,0.300168,1.9029346,9.1451226
3.034,0.183275776,7.242224,0.4198,1,0.300264,1.903339776,9.145563776
3.035,0.183384952,7.24226,0.42,1,0.30036,1.903744952,9.146004952
3.036,0.183494128,7.242296,0.4202,1,0.300456,1.904150128,9.146446128
3.037,0.183603304,7.242332,0.4204,1,0.300552,1.904555304,9.146887304
3.038,0.18371248,7.242368,0.4206,1,0.300648,1.90496048,9.14732848
3.039,0.183821656,7.242404,0.4208,1,0.300744,1.905365656,9.147769656
3.04,0.183930832,7.24244,0.421,1,0.30084,1.905770832,9.148210832
3.041,0.184040008,7.242476,0.4212,1,0.300936,1.906176008,9.148652008
3.042,0.184149184,7.242512,0.4214,1,0.301032,1.906581184,9.149093184
3.043,0.18425836,7.242548,0.4216,1,0.301128,1.90698636,9.14953436
3.044,0.184367536,7.242584,0.4218,1,0.301224,1.907391536,9.149975536
3.045,0.184476712,7.24262,0.422,1,0.30132,1.907796712,9.150416712
3.046,0.184585888,7.242656,0.4222,1,0.301416,1.908201888,9.150857888
3.047,0.184695064,7.242692,0.4224,1,0.301512,1.908607064,9.151299064
3.048,0.18480424,7.242728,0.4226,1,0.301608,1.90901224,9.15174024
3.049,0.184913417,7.242764,0.4228,1,0.301704,1.909417417,9.152181417
3.05,0.185022593,7.2428,0.423,1,0.3018,1.909822593,9.152622593
3.051,0.185131769,7.242836,0.4232,1,0.301896,1.910227769,9.153063769
3.052,0.185240945,7.242872,0.4234,1,0.301992,1.910632945,9.153504945
3.053,0.185350121,7.242908,0.4236,1,0.302088,1.911038121,9.153946121
3.054,0.185459297,7.242944,0.4238,1,0.302184,1.911443297,9.154387297
3.055,0.185568473,7.24298,0.424,1,0.30228,1.911848473,9.154828473
3.056,0.185677649,7.243016,0.4242,1,0.302376,1.912253649,9.155269649
3.057,0.185786825,7.243052,0.4244,1,0.302472,1.912658825,9.155710825
3.058,0.185896001,7.243088,0.4246,1,0.302568,1.913064001,9.156152001
3.059,0.186005177,7.243124,0.4248,1,0.302664,1.913469177,9.156593177
3.06,0.186114353,7.24316,0.425,1,0.30276,1.913874353,9.157034353
3.061,0.186223529,7.243196,0.4252,1,0.302856,1.914279529,9.157475529
3.062,0.186332705,7.243232,0.4254,1,0.302952,1.914684705,9.157916705
3.063,0.186441881,7.243268,0.4256,1,0.303048,1.915089881,9.158357881
3.064,0.186551057,7.243304,0.4258,1,0.303144,1.915495057,9.158799057
3.065,0.186660233,7.24334,0.426,1,0.30324,1.915900233,9.159240233
3.066,0.186769409,7.243376,0.4262,1,0.303336,1.916305409,9.159681409
3.067,0.186878585,7.243412,0.4264,1,0.303432,1.916710585,9.160122585
3.068,0.186987761,7.243448,0.4266,1,0.303528,1.917115761,9.160563761
3.069,0.187096937,7.243484,0.4268,1,0.303624,1.917520937,9.161004937
3.07,0.187206113,7.24352,0.427,1,0.30372,1.917926113,9.161446113
3.071,0.187315289,7.243556,0.4272,1,0.303816,1.918331289,9.161887289
3.072,0.187424465,7.243592,0.4274,1,0.303912,1.918736465,9.162328465
3.073,0.187533641,7.243628,0.4276,1,0.304008,1.919141641,9.162769641
3.074,0.187642817,7.243664,0.4278,1,0.304104,1.919546817,9.163210817
3.075,0.187751994,7.2437,0.428,1,0.3042,1.919951994,9.163651994
3.076,0.18786117,7.243736,0.4282,1,0.304296,1.92035717,9.16409317
3.077,0.187970346,7.243772,0.4284,1,0.304392,1.920762346,9.164534346
3.078,0.188079522,7.243808,0.4286,1,0.304488,1.921167522,9.164975522
3.079,0.188188698,7.243844,0.4288,1,0.304584,1.921572698,9.165416698
3.08,0.188297874,7.24388,0.429,1,0.30468,1.921977874,9.165857874
3.081,0.18840705,7.243916,0.4292,1,0.304776,1.92238305,9.16629905
3.082,0.188516226,7.243952,0.4294,1,0.304872,1.922788226,9.166740226
3.083,0.188625402,7.243988,0.4296,1,0.304968,1.923193402,9.167181402
3.084,0.188734578,7.244024,0.4298,1,0.305064,1.923598578,9.167622578
3.085,0.188843754,7.24406,0.43,1,0.30516,1.924003754,9.168063754
3.086,0.18895293,7.244096,0.4302,1,0.305256,1.92440893,9.16850493
3.087,0.189062106,7.244132,0.4304,1,0.305352,1.924814106,9.168946106
3.088,0.189171282,7.244168,0.4306,1,0.305448,1.925219282,9.169387282
3.089,0.189280458,7.244204,0.4308,1,0.305544,1.925624458,9.169828458
3.09,0.189389634,7.24424,0.431,1,0.30564,1.926029634,9.170269634
3.091,0.18949881,7.244276,0.4312,1,0.305736,1.92643481,9.17071081
3.092,0.189607986,7.244312,0.4314,1,0.305832,1.926839986,9.171151986
3.093,0.189717162,7.244348,0.4316,1,0.305928,1.927245162,9.171593162
3.094,0.189826338,7.244384,0.4318,1,0.306024,1.927650338,9.172034338
3.095,0.189935514,7.24442,0.432,1,0.30612,1.928055514,9.172475514
3.096,0.19004469,7.244456,0.4322,1,0.306216,1.92846069,9.17291669
3.097,0.190153866,7.244492,0.4324,1,0.306312,1.928865866,9.173357866
3.098,0.190263042,7.244528,0.4326,1,0.306408,1.929271042,9.173799042
3.099,0.190372218,7.244564,0.4328,1,0.306504,1.929676218,9.174240218
3.1,0.190481395,7.2446,0.433,1,0.3066,1.930081395,9.174681395
3.101,0.190590571,7.244636,0.4332,1,0.306696,1.930486571,9.175122571
3.102,0.190699747,7.244672,0.4334,1,0.306792,1.930891747,9.175563747
3.103,0.190808923,7.244708,0.4336,1,0.306888,1.931296923,9.176004923
3.104,0.190918099,7.244744,0.4338,1,0.306984,1.931702099,9.176446099
3.105,0.191027275,7.24478,0.434,1,0.30708,1.932107275,9.176887275
3.106,0.191136451,7.244816,0.4342,1,0.307176,1.932512451,9.177328451
3.107,0.191245627,7.244852,0.4344,1,0.307272,1.932917627,9.177769627
3.108,0.191354803,7.244888,0.4346,1,0.307368,1.933322803,9.178210803
3.109,0.191463979,7.244924,0.4348,1,0.307464,1.933727979,9.178651979
3.11,0.191573155,7.24496,0.435,1,0.30756,1.934133155,9.179093155
3.111,0.191682331,7.244996,0.4352,1,0.307656,1.934538331,9.179534331
3.112,0.191791507,7.245032,0.4354,1,0.307752,1.934943507,9.179975507
3.113,0.191900683,7.245068,0.4356,1,0.307848,1.935348683,9.180416683
3.114,0.192009859,7.245104,0.4358,1,0.307944,1.935753859,9.180857859
3.115,0.192119035,7.24514,0.436,1,0.30804,1.936159035,9.181299035
3.116,0.192228211,7.245176,0.4362,1,0.308136,1.936564211,9.181740211
3.117,0.192337387,7.245212,0.4364,1,0.308232,1.936969387,9.182181387
