Time,Slippery,W_02400d,NB_01_FM,NB_06_M,NB_07_FM,Total (NB),Total (W)
3,0.170620218,7.278,0.394,1,0.283,1.847620218,9.125620218
3.001,0.170684695,7.27802,0.394108,1,0.283052,1.847844695,9.125864695
3.002,0.170749173,7.27804,0.394216,1,0.283104,1.848069173,9.126109173
3.003,0.17081365,7.27806,0.394324,1,0.283156,1.84829365,9.12635365
3.004,0.170878127,7.27808,0.394432,1,0.283208,1.848518127,9.126598127
3.005,0.170942605,7.2781,0.39454,1,0.28326,1.848742605,9.126842605
3.006,0.171007082,7.27812,0.394648,1,0.283312,1.848967082,9.127087082
3.007,0.171071559,7.27814,0.394756,1,0.283364,1.849191559,9.127331559
3.008,0.171136037,7.27816,0.394864,1,0.283416,1.849416037,9.127576037
3.009,0.171200514,7.27818,0.394972,1,0.283468,1.849640514,9.127820514
3.01,0.171264991,7.2782,0.39508,1,0.28352,1.849864991,9.128064991
3.011,0.171329468,7.27822,0.395188,1,0.283572,1.850089468,9.128309468
3.012,0.171393946,7.27824,0.395296,1,0.283624,1.850313946,9.128553946
3.013,0.171458423,7.27826,0.395404,1,0.283676,1.850538423,9.128798423
3.014,0.1715229,7.27828,0.395512,1,0.283728,1.8507629,9.1290429
3.015,0.171587378,7.2783,0.39562,1,0.28378,1.850987378,9.129287378
3.016,0.171651855,7.27832,0.395728,1,0.283832,1.851211855,9.129531855
3.017,0.171716332,7.27834,0.395836,1,0.283884,1.851436332,9.129776332
3.018,0.17178081,7.27836,0.395944,1,0.283936,1.85166081,9.13002081
3.019,0.171845287,7.27838,0.396052,1,0.283988,1.851885287,9.130265287
3.02,0.171909764,7.2784,0.39616,1,0.28404,1.852109764,9.130509764
3.021,0.171974242,7.27842,0.396268,1,0.284092,1.852334242,9.130754242
3.022,0.172038719,7.27844,0.396376,1,0.284144,1.852558719,9.130998719
3.023,0.172103196,7.27846,0.396484,1,0.284196,1.852783196,9.131243196
3.024,0.172167674,7.27848,0.396592,1,0.284248,1.853007674,9.131487674
3.025,0.172232151,7.2785,0.3967,1,0.2843,1.853232151,9.131732151
3.026,0.172296628,7.27852,0.396808,1,0.284352,1.853456628,9.131976628
3.027,0.172361106,7.27854,0.396916,1,0.284404,1.853681106,9.132221106
3.028,0.172425583,7.27856,0.397024,1,0.284456,1.853905583,9.132465583
3.029,0.17249006,7.27858,0.397132,1,0.284508,1.85413006,9.13271006
3.03,0.172554538,7.2786,0.39724,1,0.28456,1.854354538,9.132954538
3.031,0.172619015,7.27862,0.397348,1,0.284612,1.854579015,9.133199015
3.032,0.172683492,7.27864,0.397456,1,0.284664,1.854803492,9.133443492
3.033,0.17274797,7.27866,0.397564,1,0.284716,1.85502797,9.13368797
3.034,0.172812447,7.27868,0.397672,1,0.284768,1.855252447,9.133932447
3.035,0.172876924,7.2787,0.39778,1,0.28482,1.855476924,9.134176924
3.036,0.172941402,7.27872,0.397888,1,0.284872,1.855701402,9.134421402
3.037,0.173005879,7.27874,0.397996,1,0.284924,1.855925879,9.134665879
3.038,0.173070356,7.27876,0.398104,1,0.284976,1.856150356,9.134910356
3.039,0.173134834,7.27878,0.398212,1,0.285028,1.856374834,9.135154834
3.04,0.173199311,7.2788,0.39832,1,0.28508,1.856599311,9.135399311
3.041,0.173263788,7.27882,0.398428,1,0.285132,1.856823788,9.135643788
3.042,0.173328266,7.27884,0.398536,1,0.285184,1.857048266,9.135888266
3.043,0.173392743,7.27886,0.398644,1,0.285236,1.857272743,9.136132743
3.044,0.17345722,7.27888,0.398752,1,0.285288,1.85749722,9.13637722
3.045,0.173521698,7.2789,0.39886,1,0.28534,1.857721698,9.136621698
3.046,0.173586175,7.27892,0.398968,1,0.285392,1.857946175,9.136866175
3.047,0.173650652,7.27894,0.399076,1,0.285444,1.858170652,9.137110652
3.048,0.173715129,7.27896,0.399184,1,0.285496,1.858395129,9.137355129
3.049,0.173779607,7.27898,0.399292,1,0.285548,1.858619607,9.137599607
3.05,0.173844084,7.279,0.3994,1,0.2856,1.858844084,9.137844084
3.051,0.173908561,7.27902,0.399508,1,0.285652,1.859068561,9.138088561
3.052,0.173973039,7.27904,0.399616,1,0.285704,1.859293039,9.138333039
3.053,0.174037516,7.27906,0.399724,1,0.285756,1.859517516,9.138577516
3.054,0.174101993,7.27908,0.399832,1,0.285808,1.859741993,9.138821993
3.055,0.174166471,7.2791,0.39994,1,0.28586,1.859966471,9.139066471
