Time,Slippery,W_02400d,NB_01_FM,NB_06_M,NB_07_FM,Total (NB),Total (W)
3,0.163932204,7.322,0.379,1,0.273,1.815932204,9.137932204
3.001,0.163978704,7.322016,0.379076,1,0.273032,1.816086704,9.138102704
3.002,0.164025205,7.322032,0.379152,1,0.273064,1.816241205,9.138273205
3.003,0.164071705,7.322048,0.379228,1,0.273096,1.816395705,9.138443705
3.004,0.164118205,7.322064,0.379304,1,0.273128,1.816550205,9.138614205
3.005,0.164164705,7.32208,0.37938,1,0.27316,1.816704705,9.138784705
3.006,0.164211205,7.322096,0.379456,1,0.273192,1.816859205,9.138955205
3.007,0.164257706,7.322112,0.379532,1,0.273224,1.817013706,9.139125706
3.008,0.164304206,7.322128,0.379608,1,0.273256,1.817168206,9.139296206
3.009,0.164350706,7.322144,0.379684,1,0.273288,1.817322706,9.139466706
3.01,0.164397206,7.32216,0.37976,1,0.27332,1.817477206,9.139637206
3.011,0.164443707,7.322176,0.379836,1,0.273352,1.817631707,9.139807707
3.012,0.164490207,7.322192,0.379912,1,0.273384,1.817786207,9.139978207
3.013,0.164536707,7.322208,0.379988,1,0.273416,1.817940707,9.140148707
3.014,0.164583207,7.322224,0.380064,1,0.273448,1.818095207,9.140319207
3.015,0.164629707,7.32224,0.38014,1,0.27348,1.818249707,9.140489707
3.016,0.164676208,7.322256,0.380216,1,0.273512,1.818404208,9.140660208
3.017,0.164722708,7.322272,0.380292,1,0.273544,1.818558708,9.140830708
3.018,0.164769208,7.322288,0.380368,1,0.273576,1.818713208,9.141001208
3.019,0.164815708,7.322304,0.380444,1,0.273608,1.818867708,9.141171708
3.02,0.164862208,7.32232,0.38052,1,0.27364,1.819022208,9.141342208
3.021,0.164908709,7.322336,0.380596,1,0.273672,1.819176709,9.141512709
3.022,0.164955209,7.322352,0.380672,1,0.273704,1.819331209,9.141683209
3.023,0.165001709,7.322368,0.380748,1,0.273736,1.819485709,9.141853709
3.024,0.165048209,7.322384,0.380824,1,0.273768,1.819640209,9.142024209
3.025,0.165094709,7.3224,0.3809,1,0.2738,1.819794709,9.142194709
3.026,0.16514121,7.322416,0.380976,1,0.273832,1.81994921,9.14236521
3.027,0.16518771,7.322432,0.381052,1,0.273864,1.82010371,9.14253571
3.028,0.16523421,7.322448,0.381128,1,0.273896,1.82025821,9.14270621
3.029,0.16528071,7.322464,0.381204,1,0.273928,1.82041271,9.14287671
3.03,0.16532721,7.32248,0.38128,1,0.27396,1.82056721,9.14304721
3.031,0.165373711,7.322496,0.381356,1,0.273992,1.820721711,9.143217711
3.032,0.165420211,7.322512,0.381432,1,0.274024,1.820876211,9.143388211
3.033,0.165466711,7.322528,0.381508,1,0.274056,1.821030711,9.143558711
3.034,0.165513211,7.322544,0.381584,1,0.274088,1.821185211,9.143729211
3.035,0.165559711,7.32256,0.38166,1,0.27412,1.821339711,9.143899711
3.036,0.165606212,7.322576,0.381736,1,0.274152,1.821494212,9.144070212
3.037,0.165652712,7.322592,0.381812,1,0.274184,1.821648712,9.144240712
3.038,0.165699212,7.322608,0.381888,1,0.274216,1.821803212,9.144411212
3.039,0.165745712,7.322624,0.381964,1,0.274248,1.821957712,9.144581712
3.04,0.165792212,7.32264,0.38204,1,0.27428,1.822112212,9.144752212
3.041,0.165838713,7.322656,0.382116,1,0.274312,1.822266713,9.144922713
3.042,0.165885213,7.322672,0.382192,1,0.274344,1.822421213,9.145093213
3.043,0.165931713,7.322688,0.382268,1,0.274376,1.822575713,9.145263713
3.044,0.165978213,7.322704,0.382344,1,0.274408,1.822730213,9.145434213
3.045,0.166024714,7.32272,0.38242,1,0.27444,1.822884714,9.145604714
3.046,0.166071214,7.322736,0.382496,1,0.274472,1.823039214,9.145775214
3.047,0.166117714,7.322752,0.382572,1,0.274504,1.823193714,9.145945714
3.048,0.166164214,7.322768,0.382648,1,0.274536,1.823348214,9.146116214
3.049,0.166210714,7.322784,0.382724,1,0.274568,1.823502714,9.146286714
3.05,0.166257215,7.3228,0.3828,1,0.2746,1.823657215,9.146457215
3.051,0.166303715,7.322816,0.382876,1,0.274632,1.823811715,9.146627715
3.052,0.166350215,7.322832,0.382952,1,0.274664,1.823966215,9.146798215
3.053,0.166396715,7.322848,0.383028,1,0.274696,1.824120715,9.146968715
3.054,0.166443215,7.322864,0.383104,1,0.274728,1.824275215,9.147139215
3.055,0.166489716,7.32288,0.38318,1,0.27476,1.824429716,9.147309716
3.056,0.166536216,7.322896,0.383256,1,0.274792,1.824584216,9.147480216
3.057,0.166582716,7.322912,0.383332,1,0.274824,1.824738716,9.147650716
3.058,0.166629216,7.322928,0.383408,1,0.274856,1.824893216,9.147821216
3.059,0.166675716,7.322944,0.383484,1,0.274888,1.825047716,9.147991716
3.06,0.166722217,7.32296,0.38356,1,0.27492,1.825202217,9.148162217
3.061,0.166768717,7.322976,0.383636,1,0.274952,1.825356717,9.148332717
3.062,0.166815217,7.322992,0.383712,1,0.274984,1.825511217,9.148503217
3.063,0.166861717,7.323008,0.383788,1,0.275016,1.825665717,9.148673717
3.064,0.166908217,7.323024,0.383864,1,0.275048,1.825820217,9.148844217
3.065,0.166954718,7.32304,0.38394,1,0.27508,1.825974718,9.149014718
3.066,0.167001218,7.323056,0.384016,1,0.275112,1.826129218,9.149185218
3.067,0.167047718,7.323072,0.384092,1,0.275144,1.826283718,9.149355718
3.068,0.167094218,7.323088,0.384168,1,0.275176,1.826438218,9.149526218
3.069,0.167140718,7.323104,0.384244,1,0.275208,1.826592718,9.149696718
3.07,0.167187219,7.32312,0.38432,1,0.27524,1.826747219,9.149867219
3.071,0.167233719,7.323136,0.384396,1,0.275272,1.826901719,9.150037719
3.072,0.167280219,7.323152,0.384472,1,0.275304,1.827056219,9.150208219
3.073,0.167326719,7.323168,0.384548,1,0.275336,1.827210719,9.150378719
3.074,0.167373219,7.323184,0.384624,1,0.275368,1.827365219,9.150549219
3.075,0.16741972,7.3232,0.3847,1,0.2754,1.82751972,9.15071972
3.076,0.16746622,7.323216,0.384776,1,0.275432,1.82767422,9.15089022
3.077,0.16751272,7.323232,0.384852,1,0.275464,1.82782872,9.15106072
3.078,0.16755922,7.323248,0.384928,1,0.275496,1.82798322,9.15123122
3.079,0.167605721,7.323264,0.385004,1,0.275528,1.828137721,9.151401721
3.08,0.167652221,7.32328,0.38508,1,0.27556,1.828292221,9.151572221
3.081,0.167698721,7.323296,0.385156,1,0.275592,1.828446721,9.151742721
3.082,0.167745221,7.323312,0.385232,1,0.275624,1.828601221,9.151913221
3.083,0.167791721,7.323328,0.385308,1,0.275656,1.828755721,9.152083721
3.084,0.167838222,7.323344,0.385384,1,0.275688,1.828910222,9.152254222
3.085,0.167884722,7.32336,0.38546,1,0.27572,1.829064722,9.152424722
3.086,0.167931222,7.323376,0.385536,1,0.275752,1.829219222,9.152595222
3.087,0.167977722,7.323392,0.385612,1,0.275784,1.829373722,9.152765722
3.088,0.168024222,7.323408,0.385688,1,0.275816,1.829528222,9.152936222
3.089,0.168070723,7.323424,0.385764,1,0.275848,1.829682723,9.153106723
3.09,0.168117223,7.32344,0.38584,1,0.27588,1.829837223,9.153277223
3.091,0.168163723,7.323456,0.385916,1,0.275912,1.829991723,9.153447723
3.092,0.168210223,7.323472,0.385992,1,0.275944,1.830146223,9.153618223
3.093,0.168256723,7.323488,0.386068,1,0.275976,1.830300723,9.153788723
3.094,0.168303224,7.323504,0.386144,1,0.276008,1.830455224,9.153959224
3.095,0.168349724,7.32352,0.38622,1,0.27604,1.830609724,9.154129724
3.096,0.168396224,7.323536,0.386296,1,0.276072,1.830764224,9.154300224
3.097,0.168442724,7.323552,0.386372,1,0.276104,1.830918724,9.154470724
3.098,0.168489224,7.323568,0.386448,1,0.276136,1.831073224,9.154641224
3.099,0.168535725,7.323584,0.386524,1,0.276168,1.831227725,9.154811725
3.1,0.168582225,7.3236,0.3866,1,0.2762,1.831382225,9.154982225
3.101,0.168628725,7.323616,0.386676,1,0.276232,1.831536725,9.155152725
