Time,Slippery,W_02400d,NB_01_FM,NB_06_M,NB_07_FM,Total (NB),Total (W)
3,0.175088331,7.237,0.404,1,0.29,1.869088331,9.106088331
3.001,0.175178335,7.237028,0.40416,1,0.29008,1.869418335,9.106446335
3.002,0.175268339,7.237056,0.40432,1,0.29016,1.869748339,9.106804339
3.003,0.175358344,7.237084,0.40448,1,0.29024,1.870078344,9.107162344
3.004,0.175448348,7.237112,0.40464,1,0.29032,1.870408348,9.107520348
3.005,0.175538352,7.23714,0.4048,1,0.2904,1.870738352,9.107878352
3.006,0.175628356,7.237168,0.40496,1,0.29048,1.871068356,9.108236356
3.007,0.17571836,7.237196,0.40512,1,0.29056,1.87139836,9.10859436
3.008,0.175808364,7.237224,0.40528,1,0.29064,1.871728364,9.108952364
3.009,0.175898368,7.237252,0.40544,1,0.29072,1.872058368,9.109310368
3.01,0.175988373,7.23728,0.4056,1,0.2908,1.872388373,9.109668373
3.011,0.176078377,7.237308,0.40576,1,0.29088,1.872718377,9.110026377
3.012,0.176168381,7.237336,0.40592,1,0.29096,1.873048381,9.110384381
3.013,0.176258385,7.237364,0.40608,1,0.29104,1.873378385,9.110742385
3.014,0.176348389,7.237392,0.40624,1,0.29112,1.873708389,9.111100389
3.015,0.176438393,7.23742,0.4064,1,0.2912,1.874038393,9.111458393
3.016,0.176528397,7.237448,0.40656,1,0.29128,1.874368397,9.111816397
3.017,0.176618402,7.237476,0.40672,1,0.29136,1.874698402,9.112174402
3.018,0.176708406,7.237504,0.40688,1,0.29144,1.875028406,9.112532406
3.019,0.17679841,7.237532,0.40704,1,0.29152,1.87535841,9.11289041
3.02,0.176888414,7.23756,0.4072,1,0.2916,1.875688414,9.113248414
3.021,0.176978418,7.237588,0.40736,1,0.29168,1.876018418,9.113606418
3.022,0.177068422,7.237616,0.40752,1,0.29176,1.876348422,9.113964422
3.023,0.177158426,7.237644,0.40768,1,0.29184,1.876678426,9.114322426
3.024,0.177248431,7.237672,0.40784,1,0.29192,1.877008431,9.114680431
3.025,0.177338435,7.2377,0.408,1,0.292,1.877338435,9.115038435
3.026,0.177428439,7.237728,0.40816,1,0.29208,1.877668439,9.115396439
3.027,0.177518443,7.237756,0.40832,1,0.29216,1.877998443,9.115754443
3.028,0.177608447,7.237784,0.40848,1,0.29224,1.878328447,9.116112447
3.029,0.177698451,7.237812,0.40864,1,0.29232,1.878658451,9.116470451
3.03,0.177788455,7.23784,0.4088,1,0.2924,1.878988455,9.116828455
3.031,0.17787846,7.237868,0.40896,1,0.29248,1.87931846,9.11718646
3.032,0.177968464,7.237896,0.40912,1,0.29256,1.879648464,9.117544464
3.033,0.178058468,7.237924,0.40928,1,0.29264,1.879978468,9.117902468
3.034,0.178148472,7.237952,0.40944,1,0.29272,1.880308472,9.118260472
3.035,0.178238476,7.23798,0.4096,1,0.2928,1.880638476,9.118618476
3.036,0.17832848,7.238008,0.40976,1,0.29288,1.88096848,9.11897648
3.037,0.178418485,7.238036,0.40992,1,0.29296,1.881298485,9.119334485
3.038,0.178508489,7.238064,0.41008,1,0.29304,1.881628489,9.119692489
3.039,0.178598493,7.238092,0.41024,1,0.29312,1.881958493,9.120050493
3.04,0.178688497,7.23812,0.4104,1,0.2932,1.882288497,9.120408497
3.041,0.178778501,7.238148,0.41056,1,0.29328,1.882618501,9.120766501
3.042,0.178868505,7.238176,0.41072,1,0.29336,1.882948505,9.121124505
3.043,0.178958509,7.238204,0.41088,1,0.29344,1.883278509,9.121482509
3.044,0.179048514,7.238232,0.41104,1,0.29352,1.883608514,9.121840514
3.045,0.179138518,7.23826,0.4112,1,0.2936,1.883938518,9.122198518
3.046,0.179228522,7.238288,0.41136,1,0.29368,1.884268522,9.122556522
3.047,0.179318526,7.238316,0.41152,1,0.29376,1.884598526,9.122914526
3.048,0.17940853,7.238344,0.41168,1,0.29384,1.88492853,9.12327253
3.049,0.179498534,7.238372,0.41184,1,0.29392,1.885258534,9.123630534
3.05,0.179588538,7.2384,0.412,1,0.294,1.885588538,9.123988538
3.051,0.179678543,7.238428,0.41216,1,0.29408,1.885918543,9.124346543
3.052,0.179768547,7.238456,0.41232,1,0.29416,1.886248547,9.124704547
3.053,0.179858551,7.238484,0.41248,1,0.29424,1.886578551,9.125062551
3.054,0.179948555,7.238512,0.41264,1,0.29432,1.886908555,9.125420555
3.055,0.180038559,7.23854,0.4128,1,0.2944,1.887238559,9.125778559
3.056,0.180128563,7.238568,0.41296,1,0.29448,1.887568563,9.126136563
3.057,0.180218567,7.238596,0.41312,1,0.29456,1.887898567,9.126494567
3.058,0.180308572,7.238624,0.41328,1,0.29464,1.888228572,9.126852572
3.059,0.180398576,7.238652,0.41344,1,0.29472,1.888558576,9.127210576
3.06,0.18048858,7.23868,0.4136,1,0.2948,1.88888858,9.12756858
3.061,0.180578584,7.238708,0.41376,1,0.29488,1.889218584,9.127926584
3.062,0.180668588,7.238736,0.41392,1,0.29496,1.889548588,9.128284588
3.063,0.180758592,7.238764,0.41408,1,0.29504,1.889878592,9.128642592
3.064,0.180848596,7.238792,0.41424,1,0.29512,1.890208596,9.129000596
3.065,0.180938601,7.23882,0.4144,1,0.2952,1.890538601,9.129358601
3.066,0.181028605,7.238848,0.41456,1,0.29528,1.890868605,9.129716605
3.067,0.181118609,7.238876,0.41472,1,0.29536,1.891198609,9.130074609
3.068,0.181208613,7.238904,0.41488,1,0.29544,1.891528613,9.130432613
